DEP,COD_MUNI_,NOMBRE,Total_Viviendas,POBL.
10,1009,Masaguara,"4,057","15,892"
10,1010,San Antonio,"1,217","5,492"
10,1011,San Isidro,"1,048","4,387"
10,1012,San Juan ,"3,499","13,405"
10,1013,San Marcos de Sierra,885,"8,653"
10,1014,San Miguelito,"1,993","7,368"
10,1015,Santa Lucia,"1,347","5,239"
10,1016,Yamaranguila,"5,005","21,025"
10,1017,San Francisco de Opalaca,"2,229","10,743"
11,1101,Roatan,"13,064","41,831"
11,1102,Guanaja,"1,909","5,445"
11,1103,Jose Santos Guardiola,"3,414","11,334"
11,1104,Utila,"1,576","3,947"
12,1201,La Paz,"11,858","43,980"
12,1202,Aguanqueterique,"1,206","4,738"
12,1203,Cabanas,750,"3,253"
12,1204,Cane,955,"3,592"
12,1205,Chinacla,"1,931","7,836"
12,1206,Guajiquiro,"2,911","14,616"
12,1207,Lauterique,709,"2,986"
12,1208,Marcala,"7,789","28,614"
12,1209,Mercedes de Oriente,241,"1,087"
12,1210,Opatoro,"1,980","7,408"
12,1211,San Antonio del Norte,774,"2,725"
12,1212,San Jose,"2,182","8,928"
12,1213,San Juan,493,"2,447"
12,1214,San Pedro de Tutule,"1,677","6,993"
12,1215,Santa Ana,"2,456","11,777"
12,1216,Santa Elena,"2,638","12,162"
12,1217,Santa Maria,"2,651","10,812"
12,1218,Santiago de Puringla,"4,128","16,182"
12,1219,Yarula,"2,111","8,844"
13,1301,Gracias,"12,446","47,622"
13,1302,Belen,"1,787","6,801"
13,1303,Candelaria,"1,661","6,772"
13,1304,Cololaca,"2,011","8,532"
13,1305,Erandique,"3,640","15,242"
13,1306,Gualcince,"2,447","11,295"
13,1307,Guarita,"2,368","8,378"
13,1308,La Campa,"1,531","6,515"
13,1309,La Iguala,"5,803","25,491"
13,1310,Las Flores,"1,267","9,512"
13,1311,La Union,"3,051","12,526"
13,1312,La Virtud,"1,727","6,583"
13,1313,Lepaera,"8,757","36,720"
13,1314,Mapulaca,"1,062","4,261"
13,1315,Piraera,"2,691","13,758"
13,1316,San Andres,"2,856","13,151"
13,1317,San Francisco,"1,978","9,017"
13,1318,San Juan Guarita,777,"2,650"
13,1319,San Manuel Colohete,"2,768","14,063"
13,1320,San Rafael,"3,175","13,410"
13,1321,San Sebastian,"2,189","10,453"
13,1322,Santa Cruz,"1,414","6,770"
13,1323,Talgua,"2,899","10,420"
13,1324,Tambla,900,"3,089"
13,1325,Tomala,"1,405","6,335"
13,1326,Valladolid,"1,009","3,696"
13,1327,Virginia,631,"2,548"
13,1328,San Marcos de Caiquin,"1,170","5,571"
14,1401,Ocotepeque,"6,416","23,096"
14,1402,Belen Gualcho,"3,643","15,438"
14,1403,Concepcion,"1,441","5,074"
14,1404,Dolores Merendon,914,"3,742"
14,1405,Fraternidad,"1,281","4,890"
14,1406,La Encarnacion,"1,352","4,961"
14,1407,La Labor,"2,682","9,515"
14,1408,Lucerna,"1,710","5,861"
14,1409,Mercedes,"1,885","7,226"
14,1410,San Fernando,"1,884","6,948"
14,1411,San Francisco del Valle,"2,693","9,625"
14,1412,San Jorge,"1,325","5,037"
14,1413,San Marcos,"5,914","19,978"
14,1414,Santa Fe,"1,329","4,851"
14,1415,Sensenti,"3,487","11,453"
14,1416,Sinuapa,"2,605","8,735"
15,1501,Juticalpa,"32,448","124,828"
15,1502,Campamento,"4,766","19,832"
15,1503,Catacamas,"29,791","117,493"
15,1504,Concordia,"2,578","8,188"
15,1505,Dulce Nombre de Culmi,"7,352","29,947"
15,1506,El Rosario,"1,198","4,224"
15,1507,Esquipulas del Norte,"2,252","10,138"
15,1508,Gualaco,"5,602","21,863"
15,1509,Guarizama,"2,172","7,769"
15,1510,Guata,"2,674","11,784"
15,1511,Guayape,"3,500","12,671"
15,1512,Jano,"1,082","4,553"
15,1513,La Union,"2,160","7,691"
15,1514,Mangulile,"2,194","9,411"
15,1515,Manto,"3,202","11,518"
15,1516,Salama,"2,373","7,542"
15,1517,San Esteban,"6,241","25,572"
15,1518,San Francisco de Becerra,"2,128","9,475"
15,1519,San Francisco de La Paz,"5,133","19,216"
15,1520,Santa Maria del Real,"3,297","10,636"
15,1521,Silca,"2,120","7,930"
15,1522,Yocon,"2,582","11,812"
15,1523,Patuca,"5,534","26,668"
16,1601,Santa Barbara,"12,987","41,736"
16,1602,Arada,"3,007","9,622"
16,1603,Atima,"4,717","17,648"
16,1604,Azacualpa,"6,264","20,210"
16,1605,Ceguaca,"1,431","4,948"
16,1606,San Jose de Colinas,"5,838","18,791"
16,1607,Concepcion del Norte,"2,313","8,989"
16,1608,Concepcion del Sur,"1,665","5,486"
16,1609,Chinda,"1,160","4,702"
16,1610,El Nispero,"2,332","8,109"
16,1611,Gualala,"1,695","5,191"
16,1612,Ilama,"2,606","9,058"
16,1613,Macuelizo,"9,696","34,401"
16,1614,Naranjito,"3,163","11,901"
16,1615,Nuevo Celilac,"2,324","8,086"
16,1616,Petoa,"3,435","12,135"
16,1617,Proteccion,"4,090","16,374"
16,1618,Quimistan,"12,858","47,993"
16,1619,San Francisco de Ojuera,"1,962","7,000"
16,1620,San Luis,"7,092","24,606"
16,1621,San Marcos,"4,307","15,229"
